RowId,Word
1,pragmatic
2,concerning
3,assisted
4,sales
5,automation
6,mentorship
7,vision
8,inspirational
9,varied
10,distribution
11,concurrent
12,ibd
13,crosscutting
14,expanding
15,editors
16,compound
17,aftershocks
18,license
19,rupee
20,draws
21,importantly
22,lies
23,corporate
24,culmination
25,phases
26,strived
27,considers
28,produce
29,business 
30,asset
31,leasing
32,lending
33,branch
34,managements
35,overtaking
36,fallen
37,seized
38,subsector
39,shown
40,overestimated
41,interview
42,externalize
43,tempo
44,investment
45,retail
46,payment
47,mortgage
48,commoditize
49,clients
50,duplication
51,teller
52,word
53,deverticalize
54,costsharing
55,companywide
56,trade
57,separately
58,businesstobusiness
59,catalysts
60,intravalue
61,intervalue
62,proposing
63,exchange
64,curtailing
65,provider
66,shift
67,curation
68,deemphasizing
69,benchmarks
70,abusing
71,multiple
72,audiences
73,excel
74,tax
75,invoicing
76,analyst
77,dashboard
78,product
79,driven
80,snapshots
81,experience
82,optional
83,geolocation
84,debt
85,nonbanks
86,adds
87,equity
88,cashbacks
89,shareholders
90,arrival
91,workforces
92,machine
93,coworking
94,dominating
95,values
96,chatbot
97,mould
98,computers
99,multiplying
100,suites
