Rowid,Word
1,global
2,stats
3,payments
4,mobile
5,multidimensional
6,future
7,crowdfunding
8,market 
9,equity
10,capitalise
11,settlements
12,cost
13,auction
14,marginalised
15,cobol
16,tellers
17,cybersecurity
18,register
19,mobilewallet
20,demonetization
21,currency
22,subsidized
23,custom
24,software
25,lockout
26,charting
27,remittances
28,al
29,credit
30,cfa
31,mutualizing
32,fintech
33,developer
34,payment 
35,credit
36,macroeconomic
37,bi
38,syndications
39,rerisk
40,cdo
41,blockchain
42,custodial
43,services 
44,percentages
45,brexit
46,audits
47,interest
48,tradeoffs
49,cashequity
50,management
51,longrunning
52,liquidation
53,intangible
54,reinforcement
55,machinelearning
56,mitigated
57,ledgerbased
58,accreditation
59,variances
60,neuralnetwork
61,digicash
62,visualisation
63,architectures
64,userfriendly
65,vouch
66,microeconomic
67,macroprudential
68,incentivised
69,exacerbating
70,federation
71,nonprofit
72,millennial
73,average
74,computation
75,benchmarking
76,turnover
77,overcapitalization
78,blockchain 
79,forecast
80,scrapped
81,bureaucratic
82,taxes
83,underwriter
84,selfinsurance
85,forwardlooking
86,fiduciary
87,log
88,custodianship
89,incentivizes
90,prototyping
91,crossproduct
92,synergies
93,inception
94,cyberattack
95,optimization
96,demandsupply
97,economical
98,demonetization
99,entrepreneurship
100,tokenization
